Name,Count,Channel,gender,occupation,ethnic_group
Kim,1003,Khan Academy,female,musician,None
Mark L Graber,12,Khan Academy,male,researcher,None
Michael Rappaport,10,Khan Academy,male,badminton player,None
Articles,7,Khan Academy,None,None,None
George Washington,143,Khan Academy,male,writer|engineer|politician|farmer|statesperson|cartographer|revolutionary|geometer|army officer,None
Alexander Hamilton,126,Khan Academy,male,Christian minister,None
James Madison,260,Khan Academy,male,writer|lawyer|politician|diplomat|statesperson|philosopher,None
Patrick Henry,6,Khan Academy,male,writer|politician|lawyer,None
Samuel Adams,6,Khan Academy,male,politician|philosopher,None
Dred Scott v. Dred Scott v. Sanford,10,Khan Academy,None,None,None
Dred Scott,154,Khan Academy,male,activist,None
Christopher Bracey,11,Khan Academy,male,lawyer,None
Peter,8,Khan Academy,male,monk|hermit,None
Elizabeth Taylor Peter Blow,8,Khan Academy,None,None,None
Peter Blow,14,Khan Academy,None,None,None
Emerson,38,Khan Academy,male,association football player,None
Irene Sanford,6,Khan Academy,None,None,None
John Sanford,6,Khan Academy,male,actor|comedian|television actor,multiracial American|African Americans
Roger B. Roger B. Taney,8,Khan Academy,None,None,None
Roger B. Taney,50,Khan Academy,male,lawyer|judge|politician,None
Roger B. Taney's,8,Khan Academy,None,None,None
Benjamin Curtis,12,Khan Academy,male,judge|lawyer|politician,None
John C. John C. Calhoun,4,Khan Academy,None,None,None
Abraham Lincoln,421,Khan Academy,male,writer|lawyer|politician|military officer|farmer|statesperson|postmaster,None
Harriet,10,Khan Academy,female,singer|songwriter,None
Kermit Roosevelt,31,Khan Academy,male,writer|military personnel,None
Michael Ramsey,6,Khan Academy,male,politician|priest|theologian,None
Lincoln,18,Khan Academy,female,badminton player,None
William Marbury,92,Khan Academy,male,lawyer|judge,None
Michael Claremont,5,Khan Academy,None,None,None
Law,18,Khan Academy,male,photographer,None
Kevin Walsh,13,Khan Academy,male,association football player,None
John Adams,74,Khan Academy,male,politician,None
Thomas Jefferson,231,Khan Academy,male,writer|teacher|diplomat|lawyer|paleontologist|inventor|archaeologist|architect|philosopher|statesperson|politician|cryptographer|farmer|jurist,None
John Marshall,188,Khan Academy,male,jazz musician|percussionist,None
John Adams',5,Khan Academy,None,None,None
Hamilton,10,Khan Academy,male,painter,None
William Marbury's,6,Khan Academy,None,None,None
Trump,10,Khan Academy,male,merchant|film producer|actor|businessperson|chief executive officer|real estate entrepreneur|restaurateur|writer|conspiracy theorist|investor|politician|game show host|television producer|entrepreneur|business magnate,White Americans
Truman,22,Khan Academy,male,businessperson|politician|judge|military officer|diarist,None
Jeff Rosen,31,Khan Academy,male,composer|record producer,None
Richard Garnett,10,Khan Academy,male,poet|writer|librarian|translator|editor,None
Madison,12,Khan Academy,male,radio personality,None
Andrew Jackson,142,Khan Academy,male,lawyer|judge|politician|military officer|statesperson,None
trumps,4,Khan Academy,None,None,None
Alan Gura,37,Khan Academy,male,lawyer|gun rights advocate,None
Adam Winkler,18,Khan Academy,male,lawyer|jurist|university teacher,None
The Battle of Lexington,6,Khan Academy,None,None,None
Miller,32,Khan Academy,male,curator|botanist|zoologist,None
Heller,39,Khan Academy,male,university teacher|zoologist|anatomist|carcinologist,None
Sal,40,Khan Academy,male,military personnel,None
Jeffrey Rosen,57,Khan Academy,male,university teacher,None
James Wilson,26,Khan Academy,male,businessperson|politician|entrepreneur|economist|banker|editor|journalist,None
King George,10,Khan Academy,male,actor|influencer,None
Brexit,5,Khan Academy,None,None,None
Jacobson,10,Khan Academy,male,painter,None
Harlan,10,Khan Academy,male,physician|naturalist|zoologist|paleontologist|physicist|botanist|herpetologist,None
Ernesto Miranda,222,Khan Academy,male,criminal,None
Paul Cassell,16,Khan Academy,male,actor,None
Patricia,16,Khan Academy,female,film director|actor|pornographic actor|film producer|film actor,None
Hugo Black,5,Khan Academy,male,lawyer|judge|military personnel|politician,None
John Flynn,17,Khan Academy,male,priest|aircraft pilot,None
Telford Taylor,5,Khan Academy,male,scientist|writer|lawyer|historian|jurist|political scientist|university teacher|magistrate|army officer,None
Tracy Mears,42,Khan Academy,None,None,None
Oren Kerr,31,Khan Academy,None,None,None
Assistance,5,Khan Academy,None,None,None
Rosa Parks,4,Khan Academy,female,civil rights advocate|public figure|autobiographer|political activist|human rights activist,African Americans
Jim Crow,107,Khan Academy,male,classical scholar|university teacher|archaeologist|classical archaeologist,None
Plessy,129,Khan Academy,None,None,None
Ferguson,122,Khan Academy,male,painter,None
Jamal Green,9,Khan Academy,male,composer|musician,None
Homer Plessy,10,Khan Academy,male,cobbler,African Americans
Brown,5,Khan Academy,male,paleontologist,None
Rick Hasson,14,Khan Academy,None,None,None
Bradley Smith,27,Khan Academy,male,motorcycle racer|motorcycle development rider,None
Jones,12,Khan Academy,male,record producer|composer|bassist|songwriter|guitarist|banjoist,None
