Name,Count,Channel,gender,occupation,ethnic_group
Kim,1021,Khan Academy,female,musician,None
Mark Graber,7,Khan Academy,male,researcher,None
Michael Rappaport,8,Khan Academy,male,badminton player,None
Graber,5,Khan Academy,female,botanist,None
Articles,7,Khan Academy,None,None,None
George Washington,85,Khan Academy,male,None,None
Alexander Hamilton,83,Khan Academy,male,Christian minister,None
James Madison,140,Khan Academy,male,politician|lawyer|writer|diplomat|statesperson|philosopher,None
Hamilton,59,Khan Academy,male,painter,None
Madison,126,Khan Academy,male,radio personality,None
Patrick Henry,6,Khan Academy,male,lawyer|writer|politician,None
Samuel Adams,6,Khan Academy,male,philosopher|politician,None
Dred Scott v. Sanford,10,Khan Academy,None,None,None
Dred Scott,140,Khan Academy,male,activist,None
Christopher Bracey,7,Khan Academy,male,lawyer,None
Peter,8,Khan Academy,male,hermit|monk,None
Elizabeth Taylor Blow,12,Khan Academy,None,None,None
Peter Blow,14,Khan Academy,None,None,None
Emerson,38,Khan Academy,male,association football player,None
Irene Sanford,6,Khan Academy,None,None,None
Dred Scott's,11,Khan Academy,None,None,None
John Sanford,6,Khan Academy,male,actor|comedian|television actor,African Americans|multiracial American
Taney,21,Khan Academy,None,None,None
John C. Calhoun,4,Khan Academy,male,writer|lawyer|politician|diplomat,None
Abraham Lincoln,273,Khan Academy,male,politician|writer|lawyer|farmer|military officer|statesperson|postmaster,None
Roger B. Taney,4,Khan Academy,male,judge|lawyer|politician,None
Harriet,10,Khan Academy,female,singer|songwriter,None
Kermit Roosevelt,6,Khan Academy,male,military personnel|writer,None
Michael Ramsey,6,Khan Academy,male,priest|politician|theologian,None
Roosevelt,92,Khan Academy,male,statesperson,None
Lincoln,18,Khan Academy,female,badminton player,None
Marbury,29,Khan Academy,None,None,None
Michael Claremont,5,Khan Academy,None,None,None
Law,18,Khan Academy,male,photographer,None
Kevin Walsh,8,Khan Academy,male,association football player,None
Walsh,5,Khan Academy,male,entomologist|zoologist,None
John Adams,61,Khan Academy,male,politician,None
Thomas Jefferson,147,Khan Academy,male,writer|teacher|lawyer|architect|politician|farmer|jurist|inventor|statesperson|diplomat|paleontologist|philosopher|cryptographer|archaeologist,None
Jefferson,71,Khan Academy,male,association football player,None
William Marbury,33,Khan Academy,male,judge|lawyer,None
John Marshall,143,Khan Academy,male,researcher,None
Adams,7,Khan Academy,female,singer|actor|entrepreneur|singer-songwriter|model|blogger|fashion designer,None
John Marshall's,15,Khan Academy,None,None,None
Trump,11,Khan Academy,male,writer|actor|television producer|chief executive officer|game show host|conspiracy theorist|businessperson|investor|business magnate|politician|film producer|entrepreneur|restaurateur|merchant|real estate entrepreneur,White Americans
Truman,23,Khan Academy,male,politician|judge|businessperson|military officer|diarist,None
Jeff Rosen,30,Khan Academy,male,composer|record producer,None
Richard Garnett,10,Khan Academy,male,librarian|poet|writer|translator|editor,None
Alexander Hamilton's,6,Khan Academy,None,None,None
Andrew Jackson,116,Khan Academy,male,lawyer|judge|politician|military officer|statesperson,None
trumps,4,Khan Academy,None,None,None
Alan Gura,37,Khan Academy,male,lawyer|gun rights advocate,None
Adam Winkler,18,Khan Academy,male,jurist|lawyer|university teacher,None
The Battle of Lexington,6,Khan Academy,None,None,None
Miller,32,Khan Academy,male,botanist|curator|zoologist,None
Heller,39,Khan Academy,male,zoologist|university teacher|anatomist|carcinologist,None
Sal,38,Khan Academy,male,military personnel,None
Jeffrey Rosen,57,Khan Academy,male,university teacher,None
James Wilson,21,Khan Academy,male,businessperson|politician|entrepreneur|economist|banker|editor|journalist,None
King George,10,Khan Academy,male,actor|influencer,None
Brexit,5,Khan Academy,None,None,None
Jacobson,10,Khan Academy,male,painter,None
Harlan,10,Khan Academy,male,naturalist|physician|physicist|zoologist|paleontologist|botanist|herpetologist,None
Ernesto Miranda,82,Khan Academy,male,criminal,None
Miranda,64,Khan Academy,female,singer,None
Paul Cassell,5,Khan Academy,male,actor,None
Patricia,16,Khan Academy,female,actor|pornographic actor|film director|film actor|film producer,None
Ernesto Miranda's,20,Khan Academy,None,None,None
Hugo Black,5,Khan Academy,male,judge|lawyer|politician|military personnel,None
John Flynn,5,Khan Academy,male,priest|aircraft pilot,None
Flynn,12,Khan Academy,male,botanist,None
Telford Taylor,5,Khan Academy,male,writer|lawyer|army officer|jurist|scientist|historian|political scientist|university teacher|magistrate,None
Cassell,11,Khan Academy,None,None,None
Tracy Mears,11,Khan Academy,None,None,None
Oren Kerr,10,Khan Academy,None,None,None
Kerr,21,Khan Academy,male,writer|historian|translator|zoologist|surgeon|biologist|linguist,None
Mears,30,Khan Academy,male,botanist,None
Assistance,5,Khan Academy,None,None,None
Rosa Parks,4,Khan Academy,female,human rights activist|public figure|civil rights advocate|political activist|autobiographer,African Americans
Jim Crow,107,Khan Academy,male,university teacher|archaeologist|classical scholar|classical archaeologist,None
Plessy,148,Khan Academy,None,None,None
Ferguson,122,Khan Academy,male,painter,None
Jamal Green,7,Khan Academy,male,composer|musician,None
Homer Plessy,10,Khan Academy,male,cobbler,African Americans
Brown,34,Khan Academy,male,paleontologist,None
Rick Hasson,14,Khan Academy,None,None,None
Bradley Smith,21,Khan Academy,male,motorcycle racer|motorcycle development rider,None
Smith,8,Khan Academy,female,None,None
Jones,12,Khan Academy,male,bassist|composer|record producer|songwriter|guitarist|banjoist,None
Bush,20,Khan Academy,male,businessperson|rugby union player|politician|motivational speaker|military officer|autobiographer|statesperson|painter|financier,None
George W. Bush,25,Khan Academy,male,businessperson|rugby union player|politician|motivational speaker|military officer|autobiographer|statesperson|painter|financier,None
McConnell,10,Khan Academy,male,pathologist,None
Citizens United,36,Khan Academy,None,None,None
Hillary the Movie,8,Khan Academy,None,None,None
Hillary Clinton,50,Khan Academy,female,lawyer|politician|jurist|diplomat|university teacher|film producer|podcaster|autobiographer,None
Barack Obama,25,Khan Academy,male,jurist|politician|lawyer|memoirist|statesperson|podcaster|academic|political writer|community organizer,African Americans
Obama,61,Khan Academy,male,jurist|politician|lawyer|memoirist|statesperson|podcaster|academic|political writer|community organizer,African Americans
Benjamin Blumen,8,Khan Academy,None,None,None
Sonia West,5,Khan Academy,None,None,None
Donald Trump,34,Khan Academy,male,writer|actor|television producer|chief executive officer|game show host|conspiracy theorist|businessperson|investor|business magnate|politician|film producer|entrepreneur|restaurateur|merchant|real estate entrepreneur,White Americans
Irwin Chemerinsky,20,Khan Academy,None,None,None
Dean,8,Khan Academy,male,cricketer,None
Michael McConnell,14,Khan Academy,male,librarian|LGBTQ rights activist,None
Chemerinsky,14,Khan Academy,None,None,None
Gutenberg,6,Khan Academy,None,None,None
Potter Stewart,6,Khan Academy,male,judge|politician,None
Ilya Somen,11,Khan Academy,None,None,None
Heather Gerkin,6,Khan Academy,None,None,None
Neil Gorsuch,5,Khan Academy,male,lawyer,None
Richard Nixon,15,Khan Academy,male,lawyer|military officer|statesperson|autobiographer|politician,None
Nixon,23,Khan Academy,male,lawyer|military officer|statesperson|autobiographer|politician,None
Andrew Johnson,36,Khan Academy,male,politician|military officer|tailor|statesperson,None
Bill Clinton,22,Khan Academy,male,lawyer|politician|governor|jurist|writer|statesperson|teacher|diplomat|saxophonist|autobiographer,None
marijuana,16,Khan Academy,None,None,None
Baker,107,Khan Academy,male,ornithologist|police officer,None
Carr,86,Khan Academy,male,painter,None
Theodore Olson,7,Khan Academy,male,lawyer,None
Gibson Dunn,5,Khan Academy,None,None,None
Guy Charles,5,Khan Academy,male,basketball player,None
Edward,5,Khan Academy,male,opera singer,None
Ellen Schwartzman,5,Khan Academy,None,None,None
Earl Warren,6,Khan Academy,male,lawyer|judge|politician,None
Charles Baker,27,Khan Academy,male,painter,None
Randy Barnett,22,Khan Academy,male,lawyer|writer,None
Neil Siegel,6,Khan Academy,male,computer scientist|systems engineer,None
Barnett,17,Khan Academy,female,botanist|explorer,None
McCulloch,40,Khan Academy,male,zoologist|ichthyologist|carcinologist,None
Edmund Randolph,9,Khan Academy,male,diplomat|lawyer|politician,None
James McCulloch,18,Khan Academy,male,musician|songwriter|guitarist,None
Marshall,44,Khan Academy,male,botanist,None
Robert Shapiro,5,Khan Academy,male,chemist|university teacher|biochemist,None
David Strauss,31,Khan Academy,male,writer|biographer|philosopher|Christian theologian,None
Strauss,13,Khan Academy,male,botanist,None
McDonald,6,Khan Academy,female,basketball player,None
Elizabeth Wydra,23,Khan Academy,female,lawyer,None
Otis McDonald,26,Khan Academy,None,None,None
Alito,14,Khan Academy,male,politician,None
Thomas,23,Khan Academy,male,painter|sculptor|artist|photographer|visual artist|drawer,None
Scalia,12,Khan Academy,male,judge|professor|lawyer|jurist,None
Erin Holly,14,Khan Academy,None,None,None
Erin Holly's,5,Khan Academy,None,None,None
Gabriel Chin,11,Khan Academy,None,None,None
Clinton,20,Khan Academy,male,lawyer|politician|governor|jurist|writer|statesperson|teacher|diplomat|saxophonist|autobiographer,None
Thomas Jefferson's,18,Khan Academy,None,None,None
Benjamin Franklin,8,Khan Academy,male,politician,None
Richard Epstein,12,Khan Academy,male,music educator|pianist,None
colonists,4,Khan Academy,None,None,None
Griswold,20,Khan Academy,male,arachnologist,None
Douglas,15,Khan Academy,female,anthropologist,None
Jeffrey Fisher,6,Khan Academy,male,musician|composer,None
Walter Raleigh,27,Khan Academy,male,writer|poet|politician|explorer|knight|spy,None
Fisher,10,Khan Academy,male,painter,None
Kurt Lash,6,Khan Academy,None,None,None
George Mason,10,Khan Academy,male,lawyer|politician|planter class,None
Gerry,5,Khan Academy,male,physicist,None
John Bingham,10,Khan Academy,male,judge|lawyer|politician|diplomat,None
Roger Sherman,2,Khan Academy,male,judge|lawyer|diplomat|politician|statesperson,None
Clark Forsythe,15,Khan Academy,None,None,None
Melissa Murray,12,Khan Academy,female,researcher,None
Alexander F.,6,Khan Academy,None,None,None
May T. Morrison,6,Khan Academy,female,philanthropist|suffragist,None
Norma McCorvey,42,Khan Academy,female,activist|autobiographer,None
Jane Roe,11,Khan Academy,female,activist|autobiographer,None
Sarah Weddington,12,Khan Academy,female,politician|lawyer,None
Linda Coffey,7,Khan Academy,None,None,None
Wade,15,Khan Academy,male,botanist,None
Henry Wade,6,Khan Academy,male,cricketer|writer,None
William O. Douglas,5,Khan Academy,male,lawyer|judge|university teacher|trade unionist,None
Rehnquist,15,Khan Academy,None,None,None
White,5,Khan Academy,male,entomologist,None
Frank Church,5,Khan Academy,male,politician,None
Harris,5,Khan Academy,male,printmaker|entomologist,None
Casey,5,Khan Academy,female,slam poet|singer-songwriter|rapper,None
Hellerstedt,9,Khan Academy,None,None,None
Stephen Breyer,10,Khan Academy,male,judge|lawyer|politician|jurist|university teacher,None
Oliver Brown,13,Khan Academy,male,baseball player,None
Linda Brown,6,Khan Academy,female,teacher|activist|human rights activist,African Americans
Theodore Shaw,11,Khan Academy,None,None,None
Richard,6,Khan Academy,male,Catholic priest|Catholic bishop,None
Kenneth Clark,6,Khan Academy,male,writer|politician|historian|curator|television presenter|university teacher|art historian,None
Leon Higginbotham,6,Khan Academy,None,None,None
Martin Luther King,15,Khan Academy,male,writer|politician|pastor|opinion journalist|preacher|pacifist|civil rights advocate|peace activist|human rights activist,African Americans
Thurgood Marshall,11,Khan Academy,male,judge|jurist|lawyer|politician,African Americans
Sai Prakash,8,Khan Academy,male,screenwriter|film director|film producer,None
Michael Gerhart,7,Khan Academy,None,None,None
Gerhart,9,Khan Academy,None,None,None
Prakash,7,Khan Academy,male,politician,None
Franklin Roosevelt,18,Khan Academy,male,statesperson,None
John Stineford,6,Khan Academy,None,None,None
Jeffries,6,Khan Academy,male,painter|drawer,None
Aldgate,6,Khan Academy,None,None,None
Livermore,9,Khan Academy,male,microbiologist,None
Anthony Kennedy,6,Khan Academy,male,lawyer|judge|politician|jurist|university teacher,None
Breyer,6,Khan Academy,None,None,None
Jekyll,5,Khan Academy,female,architect|photographer|gardener|horticulturist|garden designer|non-fiction writer|painter|editor|botanist|landscape architect,None
Hyde,6,Khan Academy,male,actor|composer|singer|record producer|singer-songwriter|film actor|guitarist,None
FDR,19,Khan Academy,male,statesperson,None
Ronald Reagan,23,Khan Academy,male,actor|screenwriter|military officer|lifeguard|statesperson|politician|character actor|announcer|voice actor|art collector|television actor|film actor|autobiographer|trade unionist|game show host|anti-communist|diarist,None
Barack Obama's,3,Khan Academy,None,None,None
Milton Friedman,7,Khan Academy,male,economist|university teacher|statistician|essayist,None
Fidel Castro,18,Khan Academy,male,lawyer|politician|partisan|statesperson|journalist|revolutionary,Galicians
Kennedy,33,Khan Academy,male,writer|anti-communist|politician|statesperson|journalist|naval officer,Irish Americans
John F. Kennedy,11,Khan Academy,male,writer|anti-communist|politician|statesperson|journalist|naval officer,Irish Americans
Batista,6,Khan Academy,male,screenwriter|actor|film producer|athlete|professional wrestler|mixed martial arts fighter,None
Kim Il-sung,7,Khan Academy,male,politician,Koreans
Syngman Rhee,8,Khan Academy,male,writer|politician|journalist,None
Mao Zedong,7,Khan Academy,male,writer|poet|politician|teacher|librarian|calligrapher|philosopher|revolutionary|political theorist|strategist,Han Chinese people
David,111,Khan Academy,male,drawer|architect,None
Harry Truman,5,Khan Academy,male,politician|judge|businessperson|military officer|diarist,None
Joseph Stalin,10,Khan Academy,male,politician|revolutionary|statesperson|opinion journalist|linguist,None
Stalin,14,Khan Academy,male,politician|revolutionary|statesperson|opinion journalist|linguist,None
Hitler,43,Khan Academy,male,politician,None
Johnson,12,Khan Academy,male,painter|visual artist,None
Lyndon B. Johnson,1,Khan Academy,male,teacher|politician|rancher|statesperson,None
Karl Marx,15,Khan Academy,male,poet|politician|journalist|writer|social scientist|sociologist|revolutionary|philosopher|economist|historian|author,Ashkenazi Jews
Vladimir Lenin,7,Khan Academy,male,politician|revolutionary,None
Karl Marx's,6,Khan Academy,None,None,None
Mark Twain,9,Khan Academy,male,writer|travel writer|journalist|opinion journalist|aphorist|teacher|novelist|science fiction writer|prose writer|autobiographer|humorist|children's writer,None
Jamestown,20,Khan Academy,None,None,None
John Winthrop,2,Khan Academy,male,lawyer|writer|politician|jurist|theologian,None
William Penn,10,Khan Academy,male,writer|politician|entrepreneur|theologian|philosopher|Colonial proprietor,None
Penn,2,Khan Academy,None,photographer,None
John White,21,Khan Academy,male,film actor|actor|television actor,None
John Smith,7,Khan Academy,male,politician,None
Christopher Columbus,118,Khan Academy,male,sailor|explorer|inventor|seafarer|traveler,None
Elizabeth,6,Khan Academy,female,None,None
Mary,8,Khan Academy,female,None,None
Queen Elizabeth,8,Khan Academy,female,monarch|queen,None
Ben Franklin,7,Khan Academy,male,writer|politician|diplomat,None
Humphrey Gilbert,7,Khan Academy,male,politician|explorer,None
Nathaniel Bacon,3,Khan Academy,male,politician|settler,None
Ulysses S. Grant,40,Khan Academy,male,statesperson|explorer|army officer|writer,None
Robert E. Lee,89,Khan Academy,male,military officer|army officer|military personnel,None
George Meade,11,Khan Academy,male,engineer|military personnel,None
George McClellan,30,Khan Academy,male,writer|military officer|designer|army officer,None
Appomattox,6,Khan Academy,None,None,None
Robert E. Lee's,13,Khan Academy,None,None,None
Harriet Beecher Stowe,39,Khan Academy,female,writer|novelist|poet|children's writer|essayist|short story writer|abolitionist,None
Tom,18,Khan Academy,male,actor|singer|singer-songwriter|street artist|television actor|songwriter|poet|teacher,Jewish people|Romanian Americans
Uncle Tom,8,Khan Academy,None,None,None
Eva,2,Khan Academy,female,pornographic actor,None
Jesus,5,Khan Academy,male,teacher|prophet|religious leader|preacher|thaumaturge|Messiah|father of faith|rabbi|carpenter|healer|tektōn|pastor,Jewish people
Uncle Tom's,3,Khan Academy,None,None,None
Cotton,3,Khan Academy,male,athletics competitor|baseball player,None
Frederick Douglass,16,Khan Academy,male,writer|businessperson|politician|autobiographer|abolitionist|suffragist|film editor|caulker|diplomat|orator|editor|journalist,African Americans
John Brown,4,Khan Academy,male,tanner|social activist|postmaster|abolitionist|entrepreneur,None
Harriet Scott,6,Khan Academy,female,radio personality,None
Walter Isaacson,11,Khan Academy,male,biographer|writer|journalist,None
Jeffrey,26,Khan Academy,male,novelist,None
Oprah,2,Khan Academy,female,voice actor|actor|writer|autobiographer|film producer|reporter|podcaster|businessperson|patron of the arts|television producer|motivational speaker|television presenter|talk show host|journalist,African Americans
Harry Potter,4,Khan Academy,male,golfer,None
William Tecumseh Sherman,27,Khan Academy,male,writer|lawyer|military officer|banker,None
James Buchanan,4,Khan Academy,male,politician|lawyer|diplomat|statesperson,None
Jefferson Davis,4,Khan Academy,male,writer|businessperson|politician|military officer|political writer,None
Antietam,13,Khan Academy,None,None,None
Green,3,Khan Academy,female,artist|scientific illustrator,None
The Battle of Gettysburg,7,Khan Academy,None,None,None
Edward Everett,21,Khan Academy,male,politician|writer|diplomat|university teacher,None
William Seward,4,Khan Academy,male,writer|lawyer|politician|diplomat,None
William Lloyd Garrison,2,Khan Academy,male,editor|writer|journalist|social reformer|abolitionist,None
John Wilkes Booth,4,Khan Academy,male,writer|actor|stage actor,None
Abraham Lincoln's,34,Khan Academy,None,None,None
George B. McClellan,30,Khan Academy,male,writer|military officer|designer|army officer,None
Bull Run,14,Khan Academy,None,None,None
Rutherford B. Hayes,8,Khan Academy,male,statesperson|lawyer|military officer,None
Hayes,2,Khan Academy,male,photographer|painter|engraver|graphic artist|lithographer,None
Oliver Wendell Holmes,2,Khan Academy,male,writer|physician|poet|physician writer|university teacher|novelist|medical writer,None
Winfield Scott,4,Khan Academy,male,politician|military officer,None
Zachary Taylor,3,Khan Academy,male,statesperson,None
James K. Polk,12,Khan Academy,male,statesperson|lawyer|politician|farmer,None
Zachary Taylor's,1,Khan Academy,None,None,None
William Tecumseh Sherman's,6,Khan Academy,None,None,None
Sherman,6,Khan Academy,male,botanist,None
Grant,5,Khan Academy,male,writer|zoologist|anatomist,None
Henry Clay,10,Khan Academy,male,politician|writer|lawyer|diplomat,None
